response,class
passaa,accept
sopii,accept
kyllä,accept
käy,accept
käypi,accept
Kyllä sopii,accept
tuo aika sopii minulle,accept
Juu sopii hyvin,accept
tulen silloin,accept
kyllä passaa,accept
Kyllä pääsen tuolloin,accept
kyllä pääsisin,accept
kyllä varmaankin sopii,accept
"Kyllä, sopii minulle.",accept
Sopii hyvin.,accept
"Ei ongelmaa, sopii minulle.",accept
Sopii minulle täydellisesti.,accept
Ilmoittaudun mielelläni.,accept
"Ei ole ongelmaa, olen mukana.",accept
"Joo, sopii minulle.",accept
"Olen mukana, kiitos kutsusta.",accept
Ilmoitan läsnäolostani.,accept
"Sopii minulle, kiitos kutsusta.",accept
Olen mukana tapaamisessa.,accept
"Sopii hyvin, ilmoittaudun mielelläni.",accept
"Ei ole ongelmaa, olen mukana tapaamisessa.",accept
"Sopii minulle täydellisesti, kiitos kutsusta.",accept
Olen iloinen voidessani osallistua.,accept
"Sopii hyvin, ilmoitan läsnäolostani.",accept
"Olen mukana tapaamisessa, kiitos mahdollisuudesta.",accept
"Ei ole ongelmaa, olen iloinen voidessani osallistua.",accept
"Sopii minulle, ilmoittaudun mielelläni.",accept
"Olen mukana tapaamisessa, ilmoitan osallistumisestani.",accept
"Sopii hyvin, olen iloinen voidessani osallistua.",accept
"Ei ole ongelmaa, ilmoittaudun mielelläni.",accept
"Olen mukana tapaamisessa, kiitos mahdollisuudesta.",accept
"Sopii minulle, ilmoitan osallistumisestani.",accept
"Ei ole ongelmaa, olen mukana tapaamisessa.",accept
"Sopii hyvin, ilmoittaudun mielelläni.",accept
"Kiitos kutsusta, sopii mainiosti.",accept
"Sopii hyvin, ilmoitan läsnäolostani.",accept
Hyväksyn ehdotetun ajan ja tulen mielelläni paikalle.,accept
"Olen mukana tapaamisessa, sopii loistavasti!",accept
"Kyllä passaa, ilmoittaudun mielelläni mukaan.",accept
"Sopii minulle, vahvistan osallistumiseni.",accept
"Kiitos kutsusta, ilmoitan mielelläni läsnäolostani sovittuun aikaan.",accept
"Tämä aika sopii hyvin, tulen paikalle.",accept
"Hyväksyn ehdotetun ajan, ilmoitan osallistumisestani.",accept
"Sopii minulle täydellisesti, ilmoittaudun läsnäolostani.",accept
"Kiitos, olen mukana tapaamisessa sovitussa ajassa.",accept
"Sopii loistavasti, kiitos kutsusta!",accept
"Kyllä, sopii mainiosti. Nähdään silloin!",accept
Vahvistan osallistumiseni sovittuun aikaan.,accept
"Sopii minulle, ilmoittaudun mukaan.",accept
"Tämä aika käy hyvin, olen iloinen voidessani osallistua.",accept
"Hyväksyn ehdotetun ajan, kiitos kutsusta.",accept
"Kiitos, ilmoitan läsnäolostani sovittuna aikana.",accept
"Sovittu aika käy mainiosti, ilmoittaudun mielelläni mukaan.",accept
"Kyllä, tulen mielelläni paikalle.",accept
"Hyväksyn ehdotetun ajan, olen mukana tapaamisessa.",accept
"Sopii täydellisesti, ilmoitan läsnäolostani.",accept
"Kiitos kutsusta, tulen tapaamiseen sovittuna ajankohtana.",accept
"Sopii hyvin, ilmoitan osallistumisestani.",accept
"Kyllä, vahvistan läsnäoloni sovitussa aikassa.",accept
Ilmoitan mielelläni osallistumisestani sovittuna ajankohtana.,accept
"Sopii loistavasti, olen mukana tapaamisessa.",accept
"Tämä aika käy hyvin, kiitos kutsusta.",accept
Hyväksyn ehdotetun ajan ja ilmoitan mielelläni osallistumisestani.,accept
"Sovittu aika sopii mainiosti, tulen mielelläni paikalle.",accept
"Ok, hyvä aika!",accept
Sopii loistavasti.,accept
Hyväksyn ajankohdan.,accept
"Täydellistä, olen paikalla.",accept
"Hyvä, voin olla paikalla silloin.",accept
"Mahtavaa, sopii mainiosti.",accept
Vahvistan osallistumiseni tähän ajankohtaan.,accept
"Selvä, tulen paikalle tuolloin.",accept
"Sopii täydellisesti, kiitos kutsusta.",accept
Tämä aika käy mainiosti.,accept
Olen iloinen!,accept
Tämä on mahtavaa!,accept
Kiitos!,accept
Aion olla paikalla!,accept
Loistavaa!,accept
Kuulostaa hyvältä!,accept
Aion olla siellä!,accept
Ymmärrän!,accept
Hyvä!,accept
Aion olla ajoissa!,accept
Aion olla paikalla ajoissa!,accept
Hyväksyn!,accept
Olen valmis!,accept
Ottaisin mielelläni vastaan!,accept
Ymmärrän ja hyväksyn!,accept
Aion olla ajoissa paikalla!,accept
Hyväksyn ja menen sinne!,accept
Minulla on varmaan aikaa!,accept
"Hyvä, menen sinne!",accept
Minulla ei ole mitään vastaan!,accept
vahvistan,accept
ei,decline
ei kyllä,decline
ei passaa,decline
ei sovi,decline
Ei käy tuolloin,decline
minulla on muita menoja,decline
Ei sovi,decline
Ei,decline
En pääse tuolloin,decline
en pääse,decline
Valitettavasti en voi osallistua.,decline
En pysty osallistumaan.,decline
En voi osallistua tuona päivänä.,decline
En pysty olemaan paikalla.,decline
En ole sopiva tapaamiseen.,decline
En ole tarpeeksi vapaa tuona päivänä.,decline
En pysty olemaan paikalla silloin.,decline
En ole saatavilla tuona päivänä.,decline
En pysty osallistumaan tapaamiseen.,decline
En ole tarpeeksi vapaa tapaamiseen.,decline
En pysty olemaan paikalla tapaamisessa.,decline
En ole sopiva tapaamiseen tuona päivänä.,decline
En pysty osallistumaan silloin.,decline
En ole saatavilla tapaamiseen.,decline
"En pysty olemaan paikalla silloin, valitettavasti.",decline
En ole tarpeeksi vapaa osallistuakseni.,decline
En ole sopiva tapaamiseen tuona ajankohtana.,decline
"En pysty osallistumaan silloin, kiitos ymmärryksestäsi.",decline
"En ole saatavilla tuona päivänä, valitettavasti.",decline
En ole tarpeeksi vapaa tapaamiseen silloin.,decline
En ole sopiva tapaamiseen tuona aikana.,decline
En pysty olemaan paikalla tuona päivänä.,decline
En ole saatavilla tapaamiseen tuona päivänä.,decline
"En pysty osallistumaan silloin, kiitos ymmärryksestäsi.",decline
